"#","Date Time, GMT-07:00","Solar Radiation, W/m² (LGR S/N: 10374973, SEN S/N: 10200135)","Wetness, % (LGR S/N: 10374973, SEN S/N: 10205906)","Temp, °C (LGR S/N: 10374973, SEN S/N: 10222765, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10374973, SEN S/N: 10222769, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10374973, SEN S/N: 10222873)","Voltage, V (LGR S/N: 10374973, SEN S/N: 10348623)","Current, mA (LGR S/N: 10374973, SEN S/N: 10348623)","Temp, °C (LGR S/N: 10374973, SEN S/N: 10359303)","RH, % (LGR S/N: 10374973, SEN S/N: 10359303)","DewPt, °C (LGR S/N: 10374973, SEN S/N: 10359303)","Batt, V (LGR S/N: 10374973)"
1,2014-09-12 13:10:00,858.1,4.71,24.992,24.629,0.3102,-0.1988,0.0000,34.519,37.900,18.1,4.393
2,2014-09-12 13:15:00,855.6,4.71,25.089,24.677,0.3102,-0.1988,0.0000,34.466,38.500,18.3,4.351
3,2014-09-12 13:20:00,853.1,4.71,25.186,24.750,0.3098,-0.1988,0.0000,34.202,38.800,18.2,4.351
4,2014-09-12 13:25:00,849.4,4.71,25.307,24.823,0.3102,-0.1988,0.0000,34.387,39.000,18.4,4.351
5,2014-09-12 13:30:00,843.1,4.71,25.404,24.895,0.3102,-0.1988,0.0000,33.809,39.400,18.1,4.400
6,2014-09-12 13:35:00,838.1,4.71,25.501,24.968,0.3102,-0.1988,0.0000,33.730,38.600,17.7,4.357
7,2014-09-12 13:40:00,829.4,4.71,25.623,25.065,0.3102,-0.1988,0.0000,33.626,37.700,17.2,4.351
8,2014-09-12 13:45:00,813.1,4.71,25.720,25.137,0.3106,-0.1988,0.0000,33.966,37.800,17.6,4.351
9,2014-09-12 13:50:00,801.9,4.12,25.817,25.210,0.3102,-0.1988,0.0000,34.281,37.500,17.7,4.351
10,2014-09-12 13:55:00,764.4,4.12,25.939,25.283,0.3106,-0.1988,0.0000,33.835,38.300,17.7,4.363
11,2014-09-12 14:00:00,760.6,4.12,26.036,25.355,0.3106,-0.1988,0.0000,32.949,38.500,17.0,4.351
12,2014-09-12 14:05:00,728.1,4.12,26.134,25.453,0.3110,-0.1988,0.0000,32.562,40.200,17.3,4.351
13,2014-09-12 14:10:00,751.9,4.12,26.231,25.525,0.3110,-0.1988,0.0000,32.587,40.100,17.3,4.351
14,2014-09-12 14:15:00,750.6,4.12,26.329,25.598,0.3110,-0.1988,0.0000,32.665,40.300,17.4,4.363
15,2014-09-12 14:20:00,714.4,4.12,26.402,25.671,0.3110,-0.1988,0.0000,32.484,40.300,17.3,4.363
16,2014-09-12 14:25:00,720.6,3.53,26.500,25.744,0.3110,-0.1988,0.0000,32.278,40.700,17.2,4.351
17,2014-09-12 14:30:00,719.4,3.53,26.573,25.817,0.3110,-0.1988,0.0000,31.816,40.300,16.7,4.351
18,2014-09-12 14:35:00,695.6,4.12,26.646,25.890,0.3110,-0.1988,0.0000,31.714,41.300,17.0,4.351
19,2014-09-12 14:40:00,668.1,4.12,26.720,25.939,0.3113,-0.1988,0.0000,31.893,41.300,17.1,4.363
20,2014-09-12 14:45:00,663.1,3.53,26.769,25.987,0.3113,-0.1988,0.0000,31.459,41.900,17.0,4.351
21,2014-09-12 14:50:00,611.9,3.53,26.818,26.036,0.3113,-0.1988,0.0000,31.663,42.400,17.3,4.351
22,2014-09-12 14:55:00,583.1,3.53,26.842,26.085,0.3118,-0.1988,0.0000,31.281,43.000,17.2,4.351
23,2014-09-12 15:00:00,188.1,2.35,26.867,26.134,0.3118,-0.1988,0.0000,30.419,43.500,16.6,4.357
24,2014-09-12 15:05:00,70.6,2.35,26.891,26.158,0.3118,-0.1988,0.0000,29.991,44.800,16.7,4.357
25,2014-09-12 15:10:00,63.1,2.35,26.891,26.182,0.3118,-0.1988,0.0000,29.490,46.200,16.7,4.357
26,2014-09-12 15:15:00,54.4,1.76,26.891,26.207,0.3118,-0.1988,0.0000,29.640,45.900,16.8,4.351
27,2014-09-12 15:20:00,50.6,1.76,26.891,26.207,0.3118,-0.1988,0.0000,29.190,47.000,16.7,4.351
28,2014-09-12 15:25:00,74.4,1.76,26.891,26.231,0.3118,-0.1988,0.0000,29.439,46.200,16.7,4.351
29,2014-09-12 15:30:00,43.1,1.76,26.867,26.231,0.3118,-0.1988,0.0000,29.515,45.400,16.5,4.351
30,2014-09-12 15:35:00,39.4,1.76,26.867,26.231,0.3121,-0.1988,0.0000,29.414,45.600,16.5,4.351
31,2014-09-12 15:40:00,39.4,1.76,26.842,26.231,0.3121,-0.1988,0.0000,29.115,45.900,16.3,4.351
32,2014-09-12 15:45:00,38.1,1.76,26.818,26.231,0.3121,-0.1937,0.0000,29.115,44.600,15.8,4.363
33,2014-09-12 15:50:00,33.1,1.76,26.793,26.207,0.3118,-0.1937,0.0000,28.941,44.900,15.8,4.351
34,2014-09-12 15:55:00,31.9,1.76,26.769,26.207,0.3121,-0.1988,0.0000,28.866,45.300,15.9,4.351
35,2014-09-12 16:00:00,30.6,1.76,26.744,26.182,0.3118,-0.1988,0.0000,28.543,44.500,15.3,4.351
36,2014-09-12 16:05:00,29.4,1.76,26.695,26.182,0.3121,-0.1988,0.0000,28.518,43.600,15.0,4.351
37,2014-09-12 16:10:00,28.1,1.76,26.671,26.158,0.3121,-0.1988,0.0000,28.667,45.100,15.6,4.345
38,2014-09-12 16:15:00,28.1,1.76,26.646,26.158,0.3121,-0.1937,0.0000,28.369,45.800,15.6,4.345
39,2014-09-12 16:20:00,26.9,1.76,26.598,26.134,0.3121,-0.1937,0.0000,28.221,45.300,15.3,4.345
40,2014-09-12 16:25:00,26.9,1.76,26.573,26.134,0.3121,-0.1937,0.0000,28.122,46.200,15.5,4.345
41,2014-09-12 16:30:00,25.6,1.76,26.549,26.109,0.3121,-0.1937,0.0000,27.801,47.800,15.7,4.345
42,2014-09-12 16:35:00,25.6,1.76,26.524,26.085,0.3121,-0.1937,0.0000,27.801,48.800,16.1,4.345
43,2014-09-12 16:40:00,25.6,1.76,26.475,26.085,0.3121,-0.1937,0.0000,27.628,48.100,15.7,4.345
44,2014-09-12 16:45:00,25.6,1.76,26.451,26.061,0.3118,-0.1988,0.0000,27.259,49.400,15.8,4.357
45,2014-09-12 16:50:00,24.4,1.76,26.426,26.036,0.3118,-0.1988,0.0000,27.112,51.100,16.2,4.345
46,2014-09-12 16:55:00,24.4,1.76,26.378,26.012,0.3121,-0.1988,0.0000,27.186,49.500,15.7,4.345
47,2014-09-12 17:00:00,24.4,1.76,26.353,25.987,0.3118,-0.1937,0.0000,27.063,49.700,15.7,4.345
48,2014-09-12 17:05:00,23.1,1.76,26.329,25.963,0.3118,-0.1988,0.0000,26.891,51.100,16.0,4.345
49,2014-09-12 17:10:00,21.9,1.76,26.280,25.963,0.3118,-0.1937,0.0000,26.940,51.600,16.1,4.345
50,2014-09-12 17:15:00,21.9,1.76,26.256,25.939,0.3118,-0.1988,0.0000,26.818,51.800,16.1,4.345
51,2014-09-12 17:20:00,21.9,1.76,26.231,25.914,0.3118,-0.1988,0.0000,26.867,52.000,16.2,4.345
52,2014-09-12 17:25:00,21.9,1.76,26.207,25.890,0.3118,-0.1988,0.0000,26.891,51.800,16.2,4.345
53,2014-09-12 17:30:00,19.4,1.76,26.158,25.866,0.3118,-0.1988,0.0000,26.842,51.800,16.1,4.345
54,2014-09-12 17:35:00,19.4,1.76,26.134,25.866,0.3118,-0.1937,0.0000,26.695,52.200,16.1,4.345
55,2014-09-12 17:40:00,18.1,1.76,26.109,25.841,0.3118,-0.1937,0.0000,26.720,52.900,16.3,4.345
56,2014-09-12 17:45:00,18.1,1.76,26.085,25.817,0.3118,-0.1988,0.0000,26.500,53.800,16.4,4.345
57,2014-09-12 17:50:00,18.1,1.76,26.061,25.793,0.3118,-0.1937,0.0000,26.451,54.800,16.6,4.345
58,2014-09-12 17:55:00,16.9,1.76,26.036,25.793,0.3118,-0.1988,0.0000,26.402,55.200,16.7,4.339
59,2014-09-12 18:00:00,16.9,1.76,26.012,25.768,0.3118,-0.1988,0.0000,26.329,56.400,17.0,4.345
60,2014-09-12 18:05:00,15.6,1.76,25.987,25.744,0.3113,-0.1988,0.0000,26.134,57.100,17.0,4.339
61,2014-09-12 18:10:00,15.6,1.76,25.963,25.744,0.3113,-0.1988,0.0000,26.061,57.900,17.1,4.345
62,2014-09-12 18:15:00,14.4,1.76,25.939,25.720,0.3113,-0.1937,0.0000,25.647,59.400,17.2,4.339
63,2014-09-12 18:20:00,13.1,1.76,25.914,25.695,0.3113,-0.1988,0.0000,25.307,60.400,17.1,4.339
64,2014-09-12 18:25:00,11.9,1.76,25.890,25.671,0.3113,-0.1988,0.0000,25.234,61.300,17.3,4.339
65,2014-09-12 18:30:00,10.6,1.76,25.866,25.671,0.3113,-0.1937,0.0000,25.186,61.600,17.3,4.339
66,2014-09-12 18:35:00,9.4,1.76,25.841,25.647,0.3113,-0.1937,0.0000,25.065,61.900,17.3,4.339
67,2014-09-12 18:40:00,8.1,1.76,25.817,25.647,0.3113,-0.1988,0.0000,24.895,62.600,17.3,4.363
68,2014-09-12 18:45:00,6.9,1.76,25.793,25.623,0.3113,-0.1937,0.0000,24.702,63.500,17.3,4.339
69,2014-09-12 18:50:00,5.6,1.76,25.768,25.598,0.3113,-0.1988,0.0000,24.508,64.500,17.4,4.339
70,2014-09-12 18:55:00,4.4,1.76,25.744,25.598,0.3113,-0.1988,0.0000,24.363,65.200,17.4,4.339
71,2014-09-12 19:00:00,1.9,1.76,25.744,25.574,0.3113,-0.1988,0.0000,24.219,65.900,17.5,4.339
72,2014-09-12 19:05:00,0.6,1.76,25.720,25.550,0.3113,-0.1988,0.0000,24.098,66.400,17.5,4.339
73,2014-09-12 19:10:00,0.6,1.76,25.695,25.550,0.3113,-0.1988,0.0000,24.026,67.100,17.6,4.339
74,2014-09-12 19:15:00,0.6,1.76,25.671,25.525,0.3113,-0.1988,0.0000,23.881,67.600,17.5,4.339
75,2014-09-12 19:20:00,0.6,1.76,25.647,25.525,0.3110,-0.1988,0.0000,23.713,68.200,17.5,4.339
76,2014-09-12 19:25:00,0.6,1.76,25.647,25.501,0.3113,-0.1988,0.0000,23.593,68.600,17.5,4.339
77,2014-09-12 19:30:00,0.6,1.76,25.623,25.477,0.3113,-0.1988,0.0000,23.521,69.100,17.5,4.339
78,2014-09-12 19:35:00,0.6,1.76,25.598,25.477,0.3113,-0.1988,0.0000,23.400,69.600,17.5,4.339
79,2014-09-12 19:40:00,0.6,1.76,25.574,25.453,0.3110,-0.1988,0.0000,23.280,70.200,17.6,4.339
80,2014-09-12 19:45:00,0.6,1.76,25.574,25.453,0.3113,-0.1988,0.0000,23.136,71.000,17.6,4.339
81,2014-09-12 19:50:00,0.6,1.76,25.550,25.428,0.3110,-0.1988,0.0000,22.968,71.600,17.6,4.339
82,2014-09-12 19:55:00,0.6,1.76,25.525,25.428,0.3110,-0.1988,0.0000,22.824,72.700,17.7,4.339
83,2014-09-12 20:00:00,0.6,1.76,25.525,25.404,0.3110,-0.1988,0.0000,22.848,73.000,17.8,4.339
84,2014-09-12 20:05:00,0.6,2.35,25.501,25.404,0.3110,-0.1988,0.0000,22.537,73.300,17.5,4.339
85,2014-09-12 20:10:00,0.6,2.35,25.477,25.380,0.3110,-0.1988,0.0000,22.226,74.200,17.4,4.339
86,2014-09-12 20:15:00,0.6,2.35,25.453,25.355,0.3110,-0.1988,0.0000,22.226,75.700,17.8,4.339
87,2014-09-12 20:20:00,0.6,2.35,25.453,25.355,0.3110,-0.1937,0.0000,22.393,75.400,17.9,4.339
88,2014-09-12 20:25:00,0.6,2.35,25.428,25.331,0.3110,-0.1988,0.0000,22.226,75.700,17.8,4.339
89,2014-09-12 20:30:00,0.6,2.35,25.404,25.331,0.3110,-0.1988,0.0000,22.178,76.400,17.9,4.339
90,2014-09-12 20:35:00,0.6,2.94,25.380,25.307,0.3110,-0.1988,0.0000,22.082,76.500,17.8,4.339
91,2014-09-12 20:40:00,0.6,2.94,25.355,25.307,0.3106,-0.1988,0.0000,21.915,77.100,17.7,4.339
92,2014-09-12 20:45:00,0.6,2.94,25.355,25.283,0.3106,-0.1988,0.0000,21.700,77.800,17.7,4.339
93,2014-09-12 20:50:00,0.6,3.53,25.331,25.258,0.3106,-0.1988,0.0000,21.485,78.500,17.6,4.339
94,2014-09-12 20:55:00,0.6,3.53,25.307,25.258,0.3110,-0.1988,0.0000,21.342,79.500,17.7,4.339
95,2014-09-12 21:00:00,0.6,4.12,25.283,25.234,0.3110,-0.1988,0.0000,21.223,80.000,17.7,4.339
96,2014-09-12 21:05:00,0.6,4.12,25.258,25.210,0.3106,-0.1988,0.0000,21.079,80.600,17.6,4.345
97,2014-09-12 21:10:00,0.6,4.71,25.258,25.210,0.3106,-0.1988,0.0000,20.984,81.200,17.7,4.339
98,2014-09-12 21:15:00,0.6,4.12,25.234,25.186,0.3106,-0.1988,0.0000,20.984,81.700,17.8,4.339
99,2014-09-12 21:20:00,0.6,4.71,25.210,25.186,0.3106,-0.1988,0.0000,20.913,82.000,17.7,4.339
100,2014-09-12 21:25:00,0.6,4.71,25.186,25.162,0.3110,-0.1988,0.0000,20.889,82.300,17.8,4.339
101,2014-09-12 21:30:00,0.6,4.71,25.186,25.162,0.3106,-0.1988,0.0000,20.865,82.500,17.8,4.339
102,2014-09-12 21:35:00,0.6,4.12,25.162,25.137,0.3106,-0.1988,0.0000,20.936,82.900,17.9,4.339
103,2014-09-12 21:40:00,0.6,4.71,25.137,25.113,0.3106,-0.1988,0.0000,21.103,82.600,18.0,4.339
104,2014-09-12 21:45:00,0.6,5.88,25.113,25.113,0.3106,-0.1988,0.0000,21.103,83.200,18.2,4.339
105,2014-09-12 21:50:00,0.6,4.71,25.113,25.089,0.3106,-0.1988,0.0000,20.936,83.100,18.0,4.339
106,2014-09-12 21:55:00,0.6,5.88,25.089,25.089,0.3106,-0.1988,0.0000,20.913,83.300,18.0,4.339
107,2014-09-12 22:00:00,0.6,5.29,25.065,25.065,0.3106,-0.1937,0.0000,20.746,83.700,17.9,4.339
108,2014-09-12 22:05:00,0.6,4.71,25.065,25.065,0.3106,-0.1988,0.0000,20.984,83.600,18.1,4.339
109,2014-09-12 22:10:00,0.6,4.71,25.040,25.040,0.3106,-0.1988,0.0000,21.127,83.200,18.2,4.339
110,2014-09-12 22:15:00,0.6,4.12,25.016,25.016,0.3106,-0.1988,0.0000,21.509,82.600,18.4,4.339
111,2014-09-12 22:20:00,0.6,4.12,24.992,25.016,0.3106,-0.1988,0.0000,21.652,81.500,18.4,4.339
112,2014-09-12 22:25:00,0.6,3.53,24.992,24.992,0.3106,-0.1937,0.0000,21.795,80.500,18.3,4.339
113,2014-09-12 22:30:00,0.6,4.12,24.968,24.992,0.3106,-0.1988,0.0000,21.748,79.900,18.1,4.339
114,2014-09-12 22:35:00,0.6,4.12,24.944,24.968,0.3106,-0.1988,0.0000,21.652,79.700,18.0,4.339
115,2014-09-12 22:40:00,0.6,4.71,24.944,24.968,0.3106,-0.1988,0.0000,21.413,79.900,17.8,4.339
116,2014-09-12 22:45:00,0.6,4.12,24.919,24.944,0.3106,-0.1988,0.0000,21.246,80.500,17.8,4.351
117,2014-09-12 22:50:00,0.6,4.12,24.895,24.944,0.3106,-0.1937,0.0000,21.246,80.900,17.9,4.339
118,2014-09-12 22:55:00,0.6,4.12,24.895,24.919,0.3106,-0.1988,0.0000,21.246,81.100,17.9,4.339
119,2014-09-12 23:00:00,0.6,4.12,24.871,24.919,0.3102,-0.1988,0.0000,21.342,80.900,18.0,4.339
120,2014-09-12 23:05:00,0.6,4.12,24.871,24.895,0.3106,-0.1988,0.0000,21.342,80.700,17.9,4.339
121,2014-09-12 23:10:00,0.6,4.12,24.847,24.895,0.3102,-0.1988,0.0000,21.246,80.800,17.8,4.321
122,2014-09-12 23:15:00,0.6,4.71,24.847,24.871,0.3106,-0.1988,0.0000,21.103,80.600,17.7,4.339
123,2014-09-12 23:20:00,0.6,4.71,24.823,24.871,0.3106,-0.1988,0.0000,20.889,81.100,17.5,4.339
124,2014-09-12 23:25:00,0.6,4.71,24.823,24.847,0.3102,-0.1937,0.0000,20.770,81.400,17.5,4.339
125,2014-09-12 23:30:00,0.6,4.12,24.798,24.847,0.3102,-0.1988,0.0000,20.722,81.800,17.5,4.339
126,2014-09-12 23:35:00,0.6,4.12,24.774,24.823,0.3102,-0.1988,0.0000,20.722,81.700,17.5,4.339
127,2014-09-12 23:40:00,0.6,4.12,24.774,24.823,0.3102,-0.1988,0.0000,20.722,81.700,17.5,4.339
128,2014-09-12 23:45:00,0.6,4.12,24.774,24.798,0.3102,-0.1988,0.0000,20.698,81.400,17.4,4.339
129,2014-09-12 23:50:00,0.6,4.12,24.750,24.798,0.3102,-0.1988,0.0000,20.698,81.300,17.4,4.339
130,2014-09-12 23:55:00,0.6,4.12,24.726,24.798,0.3102,-0.1988,0.0000,20.603,81.300,17.3,4.339
131,2014-09-13 00:00:00,0.6,4.12,24.726,24.774,0.3102,-0.1937,0.0000,20.555,81.400,17.3,4.339
132,2014-09-13 00:05:00,0.6,3.53,24.702,24.774,0.3102,-0.1937,0.0000,20.627,81.100,17.3,4.339
133,2014-09-13 00:10:00,0.6,4.12,24.702,24.750,0.3102,-0.1988,0.0000,20.531,80.900,17.2,4.339
134,2014-09-13 00:15:00,0.6,4.12,24.702,24.750,0.3102,-0.1988,0.0000,20.460,80.900,17.1,4.339
135,2014-09-13 00:20:00,0.6,3.53,24.677,24.726,0.3102,-0.1988,0.0000,20.484,80.900,17.1,4.339
136,2014-09-13 00:25:00,0.6,3.53,24.677,24.726,0.3102,-0.1988,0.0000,20.555,80.900,17.2,4.339
137,2014-09-13 00:30:00,0.6,4.12,24.653,24.702,0.3102,-0.1937,0.0000,20.627,80.600,17.2,4.339
138,2014-09-13 00:35:00,0.6,3.53,24.653,24.702,0.3102,-0.1988,0.0000,20.674,80.300,17.2,4.339
139,2014-09-13 00:40:00,0.6,3.53,24.629,24.702,0.3098,-0.1988,0.0000,20.555,80.100,17.0,4.339
140,2014-09-13 00:45:00,0.6,3.53,24.629,24.677,0.3102,-0.1937,0.0000,20.484,80.300,17.0,4.339
141,2014-09-13 00:50:00,0.6,3.53,24.605,24.677,0.3102,-0.1988,0.0000,20.555,80.200,17.0,4.357
142,2014-09-13 00:55:00,0.6,3.53,24.605,24.653,0.3098,-0.1988,0.0000,20.650,79.400,17.0,4.339
143,2014-09-13 01:00:00,0.6,3.53,24.581,24.653,0.3098,-0.1988,0.0000,20.579,78.900,16.8,4.339
144,2014-09-13 01:05:00,0.6,3.53,24.581,24.653,0.3102,-0.1988,0.0000,20.579,78.400,16.7,4.339
145,2014-09-13 01:10:00,0.6,2.94,24.557,24.629,0.3102,-0.1988,0.0000,20.841,77.800,16.8,4.339
146,2014-09-13 01:15:00,0.6,2.94,24.557,24.629,0.3098,-0.1988,0.0000,21.151,76.600,16.9,4.339
147,2014-09-13 01:20:00,0.6,2.94,24.557,24.629,0.3098,-0.1988,0.0000,21.390,75.900,17.0,4.339
148,2014-09-13 01:25:00,0.6,2.94,24.532,24.605,0.3098,-0.1988,0.0000,21.390,75.500,16.9,4.339
149,2014-09-13 01:30:00,0.6,2.94,24.532,24.605,0.3098,-0.1988,0.0000,21.437,75.500,16.9,4.339
150,2014-09-13 01:35:00,0.6,2.94,24.508,24.581,0.3098,-0.1988,0.0000,21.413,75.400,16.9,4.339
151,2014-09-13 01:40:00,0.6,2.94,24.508,24.581,0.3098,-0.1988,0.0000,21.342,75.500,16.9,4.369
152,2014-09-13 01:45:00,0.6,3.53,24.484,24.581,0.3098,-0.1988,0.0000,21.103,76.100,16.7,4.339
153,2014-09-13 01:50:00,0.6,2.94,24.484,24.557,0.3098,-0.1937,0.0000,20.913,76.900,16.7,4.333
154,2014-09-13 01:55:00,0.6,2.94,24.484,24.557,0.3098,-0.1988,0.0000,20.841,77.100,16.7,4.339
155,2014-09-13 02:00:00,0.6,2.94,24.460,24.532,0.3098,-0.1988,0.0000,20.817,77.100,16.7,4.339
156,2014-09-13 02:05:00,0.6,2.94,24.460,24.532,0.3098,-0.1988,0.0000,20.865,77.000,16.7,4.333
157,2014-09-13 02:10:00,0.6,2.94,24.436,24.532,0.3098,-0.1988,0.0000,20.984,76.300,16.7,4.333
158,2014-09-13 02:15:00,0.6,2.94,24.436,24.508,0.3098,-0.1937,0.0000,20.865,76.200,16.5,4.339
159,2014-09-13 02:20:00,0.6,2.94,24.436,24.508,0.3098,-0.1988,0.0000,20.770,76.200,16.4,4.339
160,2014-09-13 02:25:00,0.6,2.94,24.412,24.508,0.3098,-0.1988,0.0000,20.722,76.500,16.5,4.339
161,2014-09-13 02:30:00,0.6,2.94,24.412,24.484,0.3095,-0.1988,0.0000,20.722,76.600,16.5,4.333
162,2014-09-13 02:35:00,0.6,2.94,24.388,24.484,0.3098,-0.1988,0.0000,20.674,76.500,16.4,4.339
163,2014-09-13 02:40:00,0.6,2.94,24.388,24.484,0.3098,-0.1988,0.0000,20.603,76.600,16.4,4.333
164,2014-09-13 02:45:00,0.6,2.94,24.388,24.460,0.3098,-0.1988,0.0000,20.531,77.000,16.4,4.333
165,2014-09-13 02:50:00,0.6,2.94,24.363,24.460,0.3098,-0.1988,0.0000,20.698,77.100,16.6,4.333
166,2014-09-13 02:55:00,0.6,2.94,24.363,24.460,0.3098,-0.1988,0.0000,20.674,76.700,16.5,4.333
167,2014-09-13 03:00:00,0.6,2.94,24.363,24.436,0.3098,-0.1988,0.0000,20.531,76.300,16.2,4.333
168,2014-09-13 03:05:00,0.6,2.94,24.363,24.436,0.3095,-0.1988,0.0000,20.507,76.600,16.3,4.333
169,2014-09-13 03:10:00,0.6,2.94,24.339,24.436,0.3095,-0.1988,0.0000,20.484,76.700,16.3,4.333
170,2014-09-13 03:15:00,0.6,2.94,24.339,24.436,0.3095,-0.1988,0.0000,20.531,77.100,16.4,4.333
171,2014-09-13 03:20:00,0.6,2.94,24.315,24.412,0.3095,-0.1988,0.0000,20.603,76.900,16.4,4.333
172,2014-09-13 03:25:00,0.6,2.94,24.315,24.412,0.3098,-0.1988,0.0000,20.603,77.300,16.5,4.333
173,2014-09-13 03:30:00,0.6,2.94,24.315,24.388,0.3095,-0.1937,0.0000,20.817,77.500,16.8,4.333
174,2014-09-13 03:35:00,0.6,2.94,24.291,24.388,0.3095,-0.1988,0.0000,20.793,77.200,16.7,4.333
175,2014-09-13 03:40:00,0.6,2.94,24.291,24.388,0.3095,-0.1988,0.0000,20.936,76.900,16.8,4.333
176,2014-09-13 03:45:00,0.6,2.94,24.291,24.388,0.3095,-0.1988,0.0000,21.008,76.300,16.7,4.333
177,2014-09-13 03:50:00,0.6,2.94,24.267,24.363,0.3095,-0.1988,0.0000,21.175,75.400,16.7,4.333
178,2014-09-13 03:55:00,0.6,2.94,24.267,24.363,0.3095,-0.1988,0.0000,21.151,74.600,16.5,4.333
179,2014-09-13 04:00:00,0.6,2.94,24.267,24.363,0.3095,-0.1988,0.0000,20.936,75.100,16.4,4.333
180,2014-09-13 04:05:00,0.6,2.94,24.243,24.339,0.3095,-0.1988,0.0000,21.008,75.900,16.6,4.333
181,2014-09-13 04:10:00,0.6,2.94,24.243,24.339,0.3095,-0.1988,0.0000,21.056,76.000,16.7,4.333
182,2014-09-13 04:15:00,0.6,2.94,24.243,24.339,0.3095,-0.1988,0.0000,20.889,76.100,16.5,4.333
183,2014-09-13 04:20:00,0.6,2.94,24.219,24.315,0.3095,-0.1988,0.0000,20.984,76.700,16.8,4.333
184,2014-09-13 04:25:00,0.6,2.94,24.219,24.315,0.3095,-0.1988,0.0000,21.437,76.200,17.1,4.333
185,2014-09-13 04:30:00,0.6,2.94,24.219,24.315,0.3095,-0.1988,0.0000,21.676,75.000,17.1,4.333
186,2014-09-13 04:35:00,0.6,2.94,24.195,24.291,0.3095,-0.1937,0.0000,21.604,74.700,16.9,4.339
187,2014-09-13 04:40:00,0.6,2.94,24.195,24.291,0.3095,-0.1988,0.0000,21.294,75.300,16.8,4.333
188,2014-09-13 04:45:00,0.6,2.94,24.195,24.291,0.3095,-0.1988,0.0000,20.936,76.200,16.6,4.333
189,2014-09-13 04:50:00,0.6,2.94,24.171,24.291,0.3095,-0.1988,0.0000,20.793,76.900,16.6,4.333
190,2014-09-13 04:55:00,0.6,2.94,24.171,24.267,0.3095,-0.1988,0.0000,20.913,76.900,16.7,4.333
191,2014-09-13 05:00:00,0.6,2.94,24.171,24.267,0.3095,-0.1988,0.0000,21.008,76.300,16.7,4.339
192,2014-09-13 05:05:00,0.6,2.94,24.171,24.267,0.3095,-0.1988,0.0000,20.960,75.800,16.5,4.333
193,2014-09-13 05:10:00,0.6,3.53,24.146,24.267,0.3095,-0.1988,0.0000,20.650,76.600,16.4,4.333
194,2014-09-13 05:15:00,0.6,3.53,24.146,24.243,0.3092,-0.1988,0.0000,20.317,78.000,16.4,4.333
195,2014-09-13 05:20:00,0.6,3.53,24.146,24.243,0.3095,-0.1988,0.0000,20.150,79.000,16.4,4.333
196,2014-09-13 05:25:00,0.6,3.53,24.146,24.243,0.3095,-0.1937,0.0000,20.007,79.700,16.4,4.339
197,2014-09-13 05:30:00,0.6,3.53,24.122,24.219,0.3095,-0.1988,0.0000,19.793,79.900,16.2,4.333
198,2014-09-13 05:35:00,0.6,4.12,24.122,24.219,0.3095,-0.1988,0.0000,19.770,80.800,16.4,4.333
199,2014-09-13 05:40:00,0.6,4.12,24.122,24.219,0.3092,-0.1988,0.0000,19.651,81.100,16.3,4.333
200,2014-09-13 05:45:00,0.6,4.12,24.122,24.219,0.3095,-0.1988,0.0000,19.508,81.400,16.3,4.333
201,2014-09-13 05:50:00,0.6,4.12,24.098,24.195,0.3095,-0.1988,0.0000,19.579,81.900,16.4,4.333
202,2014-09-13 05:55:00,0.6,3.53,24.098,24.195,0.3095,-0.1988,0.0000,19.674,81.900,16.5,4.333
203,2014-09-13 06:00:00,0.6,3.53,24.098,24.195,0.3092,-0.1988,0.0000,19.722,81.700,16.5,4.333
204,2014-09-13 06:05:00,0.6,3.53,24.074,24.195,0.3092,-0.1988,0.0000,19.817,81.300,16.5,4.333
205,2014-09-13 06:10:00,0.6,3.53,24.074,24.195,0.3095,-0.1988,0.0000,19.817,80.700,16.4,4.333
206,2014-09-13 06:15:00,0.6,3.53,24.074,24.171,0.3095,-0.1988,0.0000,19.888,80.400,16.4,4.333
207,2014-09-13 06:20:00,0.6,3.53,24.050,24.171,0.3095,-0.1988,0.0000,19.936,80.000,16.4,4.333
208,2014-09-13 06:25:00,0.6,3.53,24.050,24.171,0.3092,-0.1988,0.0000,19.770,80.400,16.3,4.333
209,2014-09-13 06:30:00,0.6,3.53,24.050,24.146,0.3092,-0.1988,0.0000,19.770,80.900,16.4,4.333
210,2014-09-13 06:35:00,1.9,3.53,24.050,24.146,0.3092,-0.1988,0.0000,19.936,80.700,16.5,4.333
211,2014-09-13 06:40:00,3.1,3.53,24.026,24.146,0.3092,-0.1937,0.0000,19.865,80.300,16.4,4.333
212,2014-09-13 06:45:00,4.4,3.53,24.026,24.122,0.3092,-0.1988,0.0000,19.936,80.200,16.4,4.333
213,2014-09-13 06:50:00,6.9,3.53,24.026,24.122,0.3092,-0.1988,0.0000,20.031,79.900,16.5,4.333
214,2014-09-13 06:55:00,8.1,3.53,24.002,24.122,0.3092,-0.1988,0.0000,20.150,79.400,16.5,4.333
215,2014-09-13 07:00:00,9.4,3.53,24.002,24.122,0.3092,-0.1988,0.0000,20.174,79.100,16.5,4.333
216,2014-09-13 07:05:00,10.6,3.53,24.002,24.098,0.3092,-0.1988,0.0000,20.246,79.100,16.5,4.333
