Date Time	Voltage (V)  #10348608	Current (mA)  #10348608	Temp (°F)  #10359309	RH (%)  #10359309	1 cm deep Temp (°F)	5 cm deep Temp (°F)	Water Content (m³/m³)  #10374514	Wetness (%)  #10374910	Solar Radiation (W/m²)  #10375651	Batt (V) c:5
06/02/15 16:20:00.0	-0.1937	0.0000	74.986	57.100	79.788	78.427	0.2582	0.00	459.4	4.321
06/02/15 16:25:00.0	-0.1937	0.0000	75.160	57.600	79.612	78.382	0.2582	0.00	445.6	4.327
06/02/15 16:30:00.0	-0.1937	0.0000	74.034	58.600	79.435	78.296	0.2579	0.00	326.9	4.333
06/02/15 16:35:00.0	-0.1937	0.0000	73.299	59.800	79.261	78.208	0.2579	0.00	159.4	4.333
06/02/15 16:40:00.0	-0.1937	0.0000	74.511	58.800	79.128	78.121	0.2582	0.00	166.9	4.339
06/02/15 16:45:00.0	-0.1937	0.0000	74.077	58.800	78.953	78.033	0.2582	0.00	50.6	4.339
06/02/15 16:50:00.0	-0.1937	0.0000	73.515	60.100	78.777	77.945	0.2579	0.00	69.4	4.339
06/02/15 16:55:00.0	-0.1937	0.0000	72.997	60.500	78.645	77.859	0.2579	0.00	60.6	4.339
06/02/15 17:00:00.0	-0.1937	0.0000	72.007	62.400	78.471	77.770	0.2579	0.00	59.4	4.339
06/02/15 17:05:00.0	-0.1937	0.0000	71.964	62.400	78.339	77.639	0.2579	0.00	113.1	4.339
06/02/15 17:10:00.0	-0.1937	0.0000	70.974	64.000	78.208	77.596	0.2579	0.00	85.6	4.333
06/02/15 17:15:00.0	-0.1937	0.0000	71.146	64.100	78.076	77.509	0.2571	0.00	98.1	4.333
06/02/15 17:20:00.0	-0.1937	0.0000	70.543	64.800	77.945	77.421	0.2571	0.00	43.1	4.333
06/02/15 17:25:00.0	-0.1937	0.0000	70.930	64.900	77.815	77.335	0.2575	0.00	49.4	4.333
06/02/15 17:30:00.0	-0.1937	0.0000	70.974	65.100	77.684	77.247	0.2571	0.00	38.1	4.333
06/02/15 17:35:00.0	-0.1937	0.0000	70.846	64.800	77.596	77.160	0.2567	0.00	49.4	4.357
06/02/15 17:40:00.0	-0.1937	0.0000	70.716	65.200	77.464	77.072	0.2571	0.00	33.1	4.333
06/02/15 17:45:00.0	-0.1937	0.0000	70.201	65.900	77.335	76.986	0.2567	0.00	31.9	4.333
06/02/15 17:50:00.0	-0.1937	0.0000	70.029	67.100	77.247	76.942	0.2571	0.00	30.6	4.333
06/02/15 17:55:00.0	-0.1937	0.0000	70.029	67.500	77.160	76.854	0.2567	0.00	28.1	4.327
06/02/15 18:00:00.0	-0.1937	0.0000	68.956	68.200	77.029	76.768	0.2567	0.00	26.9	4.327
06/02/15 18:05:00.0	-0.1937	0.0000	68.698	69.200	76.942	76.681	0.2564	0.00	25.6	4.327
06/02/15 18:10:00.0	-0.1937	0.0000	68.571	69.500	76.854	76.593	0.2560	0.00	24.4	4.327
06/02/15 18:15:00.0	-0.1937	0.0000	68.227	70.200	76.725	76.550	0.2560	0.00	24.4	4.327
06/02/15 18:20:00.0	-0.1937	0.0000	68.356	69.900	76.636	76.464	0.2564	0.00	25.6	4.327
06/02/15 18:25:00.0	-0.1937	0.0000	67.627	70.900	76.550	76.419	0.2557	0.00	29.4	4.321
06/02/15 18:30:00.0	-0.1937	0.0000	67.928	70.800	76.464	76.332	0.2557	0.00	29.4	4.321
06/02/15 18:35:00.0	-0.1937	0.0000	67.757	70.900	76.375	76.246	0.2557	0.00	14.4	4.321
06/02/15 18:40:00.0	-0.1937	0.0000	67.456	71.400	76.289	76.203	0.2560	0.00	10.6	4.321
06/02/15 18:45:00.0	-0.1937	0.0000	66.900	72.500	76.203	76.114	0.2560	0.00	6.9	4.321
06/02/15 18:50:00.0	-0.1937	0.0000	66.643	72.900	76.114	76.028	0.2553	0.00	4.4	4.321
06/02/15 18:55:00.0	-0.1937	0.0000	66.130	74.200	76.028	75.985	0.2553	0.00	1.9	4.321
06/02/15 19:00:00.0	-0.1937	0.0000	65.745	75.100	75.942	75.898	0.2550	0.00	0.6	4.321
06/02/15 19:05:00.0	-0.1937	0.0000	65.403	75.900	75.853	75.853	0.2557	0.00	0.6	4.321
06/02/15 19:10:00.0	-0.1937	0.0000	65.059	76.900	75.767	75.810	0.2550	0.00	0.6	4.321
06/02/15 19:15:00.0	-0.1937	0.0000	65.059	77.500	75.681	75.724	0.2550	0.00	0.6	4.321
06/02/15 19:20:00.0	-0.1937	0.0000	64.974	77.300	75.594	75.637	0.2553	0.00	0.6	4.321
06/02/15 19:25:00.0	-0.1937	0.0000	64.888	77.400	75.508	75.594	0.2553	0.00	0.6	4.321
06/02/15 19:30:00.0	-0.1937	0.0000	64.632	78.100	75.420	75.508	0.2546	0.00	0.6	4.321
06/02/15 19:35:00.0	-0.1937	0.0000	64.161	78.800	75.333	75.463	0.2546	0.00	0.6	4.321
06/02/15 19:40:00.0	-0.1937	0.0000	64.332	78.600	75.290	75.420	0.2546	0.00	0.6	4.321
06/02/15 19:45:00.0	-0.1937	0.0000	63.903	79.400	75.204	75.333	0.2546	0.00	0.6	4.321
06/02/15 19:50:00.0	-0.1937	0.0000	63.819	80.000	75.117	75.290	0.2542	0.00	0.6	4.321
06/02/15 19:55:00.0	-0.1937	0.0000	63.518	80.500	75.074	75.204	0.2550	0.00	0.6	4.430
06/02/15 20:00:00.0	-0.1937	0.0000	63.604	80.800	74.986	75.160	0.2546	0.00	0.6	4.321
06/02/15 20:05:00.0	-0.1937	0.0000	63.475	81.100	74.899	75.117	0.2546	0.59	0.6	4.321
06/02/15 20:10:00.0	-0.1937	0.0000	63.561	81.000	74.856	75.029	0.2546	0.00	0.6	4.321
06/02/15 20:15:00.0	-0.1937	0.0000	63.433	81.500	74.770	74.986	0.2546	0.00	0.6	4.321
06/02/15 20:20:00.0	-0.1937	0.0000	63.219	82.100	74.727	74.943	0.2546	1.18	0.6	4.321
06/02/15 20:25:00.0	-0.1937	0.0000	63.133	82.300	74.640	74.856	0.2538	0.59	0.6	4.321
06/02/15 20:30:00.0	-0.1937	0.0000	63.262	82.200	74.597	74.813	0.2546	0.59	0.6	4.321
06/02/15 20:35:00.0	-0.1937	0.0000	63.048	82.400	74.511	74.770	0.2538	1.18	0.6	4.321
06/02/15 20:40:00.0	-0.1937	0.0000	63.048	82.600	74.467	74.727	0.2538	1.18	0.6	4.321
06/02/15 20:45:00.0	-0.1937	0.0000	63.048	82.700	74.381	74.640	0.2538	1.18	0.6	4.321
06/02/15 20:50:00.0	-0.1937	0.0000	62.791	83.200	74.338	74.597	0.2538	1.18	0.6	4.321
06/02/15 20:55:00.0	-0.1937	0.0000	62.748	83.300	74.295	74.554	0.2538	1.76	0.6	4.321
06/02/15 21:00:00.0	-0.1937	0.0000	62.748	83.500	74.206	74.511	0.2542	2.35	0.6	4.321
06/02/15 21:05:00.0	-0.1937	0.0000	62.661	83.500	74.163	74.467	0.2538	2.35	0.6	4.321
06/02/15 21:10:00.0	-0.1937	0.0000	62.577	83.600	74.120	74.424	0.2542	2.94	0.6	4.321
06/02/15 21:15:00.0	-0.1937	0.0000	62.490	83.900	74.034	74.381	0.2542	3.53	0.6	4.321
06/02/15 21:20:00.0	-0.1937	0.0000	62.362	84.200	73.990	74.338	0.2534	4.71	0.6	4.321
06/02/15 21:25:00.0	-0.1937	0.0000	62.319	84.400	73.947	74.250	0.2534	4.71	0.6	4.321
06/02/15 21:30:00.0	-0.1937	0.0000	62.319	84.500	73.904	74.206	0.2538	5.29	0.6	4.321
06/02/15 21:35:00.0	-0.1937	0.0000	62.233	84.700	73.861	74.163	0.2534	5.88	0.6	4.321
06/02/15 21:40:00.0	-0.1937	0.0000	62.191	84.700	73.818	74.120	0.2538	6.47	0.6	4.321
06/02/15 21:45:00.0	-0.1937	0.0000	62.233	84.700	73.731	74.077	0.2534	7.06	0.6	4.321
06/02/15 21:50:00.0	-0.1937	0.0000	62.191	84.800	73.688	74.034	0.2538	8.24	0.6	4.315
06/02/15 21:55:00.0	-0.1937	0.0000	62.191	84.900	73.645	73.990	0.2534	7.06	0.6	4.321
06/02/15 22:00:00.0	-0.1937	0.0000	62.191	85.000	73.602	73.947	0.2538	8.24	0.6	4.315
06/02/15 22:05:00.0	-0.1937	0.0000	62.191	85.000	73.558	73.904	0.2538	8.82	0.6	4.315
06/02/15 22:10:00.0	-0.1937	0.0000	62.148	85.000	73.515	73.861	0.2538	7.65	0.6	4.315
06/02/15 22:15:00.0	-0.1937	0.0000	62.062	85.000	73.472	73.818	0.2532	8.82	0.6	4.315
06/02/15 22:20:00.0	-0.1937	0.0000	62.148	85.200	73.429	73.818	0.2532	7.65	0.6	4.315
06/02/15 22:25:00.0	-0.1937	0.0000	62.148	85.100	73.386	73.774	0.2532	8.24	0.6	4.315
06/02/15 22:30:00.0	-0.1937	0.0000	62.191	85.000	73.342	73.731	0.2532	7.65	0.6	4.315
06/02/15 22:35:00.0	-0.1937	0.0000	62.105	85.100	73.299	73.688	0.2534	8.82	0.6	4.315
06/02/15 22:40:00.0	-0.1937	0.0000	62.019	85.100	73.256	73.645	0.2532	11.18	0.6	4.315
06/02/15 22:45:00.0	-0.1937	0.0000	61.934	85.200	73.213	73.602	0.2532	10.59	0.6	4.315
06/02/15 22:50:00.0	-0.1937	0.0000	61.934	85.400	73.170	73.558	0.2534	10.59	0.6	4.315
06/02/15 22:55:00.0	-0.1937	0.0000	61.891	85.400	73.126	73.515	0.2534	11.18	0.6	4.315
06/02/15 23:00:00.0	-0.1937	0.0000	61.761	85.200	73.083	73.472	0.2532	17.65	0.6	4.315
06/02/15 23:05:00.0	-0.1937	0.0000	61.590	85.400	73.040	73.429	0.2534	20.59	0.6	4.315
06/02/15 23:10:00.0	-0.1937	0.0000	61.590	85.700	72.997	73.429	0.2534	20.59	0.6	4.315
06/02/15 23:15:00.0	-0.1937	0.0000	61.506	85.600	72.955	73.386	0.2532	21.18	0.6	4.315
06/02/15 23:20:00.0	-0.1937	0.0000	61.333	85.600	72.912	73.342	0.2532	31.18	0.6	4.315
06/02/15 23:25:00.0	-0.1937	0.0000	61.376	86.100	72.869	73.299	0.2528	28.24	0.6	4.309
06/02/15 23:30:00.0	-0.1937	0.0000	61.462	86.300	72.826	73.256	0.2528	28.82	0.6	4.309
06/02/15 23:35:00.0	-0.1937	0.0000	61.590	86.500	72.783	73.256	0.2528	22.35	0.6	4.339
06/02/15 23:40:00.0	-0.1937	0.0000	61.720	86.400	72.783	73.213	0.2528	16.47	0.6	4.309
06/02/15 23:45:00.0	-0.1937	0.0000	61.804	86.400	72.739	73.170	0.2534	12.35	0.6	4.309
06/02/15 23:50:00.0	-0.1937	0.0000	61.934	86.400	72.696	73.126	0.2528	11.18	0.6	4.309
06/02/15 23:55:00.0	-0.1937	0.0000	62.105	86.300	72.653	73.083	0.2534	8.24	0.6	4.309
06/03/15 00:00:00.0	-0.1937	0.0000	62.233	86.000	72.653	73.040	0.2528	5.88	0.6	4.309
06/03/15 00:05:00.0	-0.1937	0.0000	62.533	85.900	72.610	73.040	0.2534	3.53	0.6	4.309
06/03/15 00:10:00.0	-0.1937	0.0000	62.875	85.500	72.567	72.997	0.2532	3.53	0.6	4.309
06/03/15 00:15:00.0	-0.1937	0.0000	63.090	85.300	72.567	72.955	0.2528	2.94	0.6	4.309
06/03/15 00:20:00.0	-0.1937	0.0000	63.304	84.900	72.567	72.955	0.2528	2.94	0.6	4.309
06/03/15 00:25:00.0	-0.1937	0.0000	63.304	84.600	72.567	72.912	0.2528	3.53	0.6	4.303
06/03/15 00:30:00.0	-0.1937	0.0000	63.347	84.300	72.523	72.912	0.2528	2.94	0.6	4.303
06/03/15 00:35:00.0	-0.1937	0.0000	63.262	84.000	72.523	72.869	0.2528	2.94	0.6	4.303
06/03/15 00:40:00.0	-0.1937	0.0000	63.390	83.900	72.523	72.869	0.2528	2.35	0.6	4.303
06/03/15 00:45:00.0	-0.1937	0.0000	63.219	83.900	72.523	72.826	0.2528	2.94	0.6	4.303
06/03/15 00:50:00.0	-0.1937	0.0000	63.176	83.700	72.523	72.826	0.2532	2.35	0.6	4.303
06/03/15 00:55:00.0	-0.1937	0.0000	63.090	83.600	72.523	72.783	0.2532	1.76	0.6	4.303
06/03/15 01:00:00.0	-0.1937	0.0000	62.962	83.500	72.480	72.783	0.2528	1.76	0.6	4.303
06/03/15 01:05:00.0	-0.1937	0.0000	62.962	83.600	72.480	72.783	0.2532	2.35	0.6	4.303
06/03/15 01:10:00.0	-0.1937	0.0000	63.133	83.500	72.480	72.739	0.2532	2.35	0.6	4.303
06/03/15 01:15:00.0	-0.1937	0.0000	63.133	83.300	72.480	72.739	0.2528	1.18	0.6	4.303
06/03/15 01:20:00.0	-0.1937	0.0000	63.133	83.000	72.480	72.739	0.2532	1.76	0.6	4.303
06/03/15 01:25:00.0	-0.1937	0.0000	63.262	82.900	72.437	72.696	0.2528	0.59	0.6	4.303
06/03/15 01:30:00.0	-0.1937	0.0000	63.262	82.800	72.437	72.696	0.2528	1.76	0.6	4.303
06/03/15 01:35:00.0	-0.1937	0.0000	63.262	82.600	72.437	72.696	0.2532	0.00	0.6	4.303
06/03/15 01:40:00.0	-0.1937	0.0000	63.176	82.500	72.437	72.653	0.2524	1.18	0.6	4.303
06/03/15 01:45:00.0	-0.1937	0.0000	63.176	82.300	72.394	72.653	0.2532	0.00	0.6	4.303
06/03/15 01:50:00.0	-0.1937	0.0000	63.176	82.300	72.394	72.653	0.2524	1.18	0.6	4.303
06/03/15 01:55:00.0	-0.1937	0.0000	63.262	82.200	72.394	72.610	0.2532	1.18	0.6	4.303
06/03/15 02:00:00.0	-0.1937	0.0000	63.219	82.200	72.351	72.610	0.2524	1.76	0.6	4.303
06/03/15 02:05:00.0	-0.1937	0.0000	63.219	82.200	72.351	72.610	0.2532	1.76	0.6	4.303
06/03/15 02:10:00.0	-0.1937	0.0000	63.176	82.200	72.351	72.567	0.2532	1.18	0.6	4.303
06/03/15 02:15:00.0	-0.1937	0.0000	63.133	82.100	72.351	72.567	0.2528	1.18	0.6	4.303
06/03/15 02:20:00.0	-0.1937	0.0000	63.133	82.200	72.307	72.567	0.2524	1.76	0.6	4.303
06/03/15 02:25:00.0	-0.1937	0.0000	62.962	82.300	72.307	72.523	0.2528	1.76	0.6	4.303
06/03/15 02:30:00.0	-0.1937	0.0000	62.875	82.700	72.307	72.523	0.2528	1.18	0.6	4.303
06/03/15 02:35:00.0	-0.1937	0.0000	62.919	82.700	72.264	72.523	0.2528	1.76	0.6	4.303
06/03/15 02:40:00.0	-0.1937	0.0000	62.875	82.600	72.264	72.480	0.2524	2.35	0.6	4.303
06/03/15 02:45:00.0	-0.1937	0.0000	62.791	82.500	72.264	72.480	0.2528	1.18	0.6	4.303
06/03/15 02:50:00.0	-0.1937	0.0000	62.661	82.700	72.221	72.480	0.2532	1.76	0.6	4.303
06/03/15 02:55:00.0	-0.1937	0.0000	62.661	82.600	72.221	72.437	0.2528	1.76	0.6	4.303
06/03/15 03:00:00.0	-0.1937	0.0000	62.362	82.600	72.178	72.437	0.2528	4.71	0.6	4.303
06/03/15 03:05:00.0	-0.1937	0.0000	62.233	82.900	72.178	72.437	0.2528	5.88	0.6	4.303
06/03/15 03:10:00.0	-0.1937	0.0000	62.191	83.100	72.178	72.394	0.2524	5.29	0.6	4.303
06/03/15 03:15:00.0	-0.1937	0.0000	62.191	83.200	72.136	72.394	0.2524	5.29	0.6	4.303
06/03/15 03:20:00.0	-0.1937	0.0000	62.276	83.200	72.136	72.351	0.2524	5.29	0.6	4.303
06/03/15 03:25:00.0	-0.1937	0.0000	62.276	83.200	72.136	72.351	0.2524	4.12	0.6	4.303
06/03/15 03:30:00.0	-0.1937	0.0000	62.319	83.100	72.093	72.351	0.2524	4.71	0.6	4.303
06/03/15 03:35:00.0	-0.1937	0.0000	62.233	83.100	72.093	72.307	0.2528	5.29	0.6	4.303
06/03/15 03:40:00.0	-0.1937	0.0000	62.105	83.100	72.050	72.307	0.2524	7.06	0.6	4.315
06/03/15 03:45:00.0	-0.1937	0.0000	62.148	83.200	72.050	72.307	0.2528	5.29	0.6	4.303
06/03/15 03:50:00.0	-0.1937	0.0000	62.062	83.200	72.050	72.264	0.2524	4.71	0.6	4.303
06/03/15 03:55:00.0	-0.1937	0.0000	62.062	83.200	72.007	72.264	0.2528	4.12	0.6	4.303
06/03/15 04:00:00.0	-0.1937	0.0000	62.148	83.200	72.007	72.264	0.2524	4.71	0.6	4.303
06/03/15 04:05:00.0	-0.1937	0.0000	62.233	83.200	71.964	72.221	0.2524	3.53	0.6	4.303
06/03/15 04:10:00.0	-0.1937	0.0000	62.276	83.100	71.964	72.221	0.2528	3.53	0.6	4.303
06/03/15 04:15:00.0	-0.1937	0.0000	62.276	83.100	71.964	72.221	0.2528	4.12	0.6	4.303
06/03/15 04:20:00.0	-0.1937	0.0000	62.362	83.000	71.920	72.178	0.2524	3.53	0.6	4.303
06/03/15 04:25:00.0	-0.1937	0.0000	62.362	82.900	71.920	72.178	0.2520	5.88	0.6	4.303
06/03/15 04:30:00.0	-0.1937	0.0000	62.191	83.000	71.920	72.136	0.2524	4.71	0.6	4.303
06/03/15 04:35:00.0	-0.1937	0.0000	62.062	83.000	71.877	72.136	0.2524	5.88	0.6	4.303
06/03/15 04:40:00.0	-0.1937	0.0000	62.105	83.300	71.877	72.136	0.2524	4.12	0.6	4.303
06/03/15 04:45:00.0	-0.1937	0.0000	62.233	83.100	71.834	72.093	0.2524	4.12	0.6	4.303
06/03/15 04:50:00.0	-0.1937	0.0000	62.406	82.900	71.834	72.093	0.2524	0.59	0.6	4.303
06/03/15 04:55:00.0	-0.1937	0.0000	62.406	82.700	71.834	72.093	0.2524	2.94	0.6	4.303
06/03/15 05:00:00.0	-0.1937	0.0000	62.447	82.700	71.791	72.050	0.2528	6.47	0.6	4.303
06/03/15 05:05:00.0	-0.1937	0.0000	62.362	82.600	71.791	72.050	0.2524	5.29	0.6	4.303
06/03/15 05:10:00.0	-0.1937	0.0000	62.319	82.700	71.791	72.050	0.2524	20.59	1.9	4.303
06/03/15 05:15:00.0	-0.1937	0.0000	62.319	82.700	71.748	72.007	0.2528	4.71	3.1	4.303
06/03/15 05:20:00.0	-0.1937	0.0000	62.276	82.600	71.748	72.007	0.2524	3.53	4.4	4.303
06/03/15 05:25:00.0	-0.1937	0.0000	62.406	82.600	71.748	72.007	0.2524	2.94	4.4	4.303
06/03/15 05:30:00.0	-0.1937	0.0000	62.447	82.400	71.748	71.964	0.2528	2.94	6.9	4.297
06/03/15 05:35:00.0	-0.1937	0.0000	62.490	82.400	71.704	71.964	0.2520	1.18	9.4	4.297
06/03/15 05:40:00.0	-0.1937	0.0000	62.620	82.400	71.704	71.964	0.2520	0.00	11.9	4.297
06/03/15 05:45:00.0	-0.1937	0.0000	62.661	82.000	71.704	71.920	0.2524	1.18	9.4	4.297
06/03/15 05:50:00.0	-0.1937	0.0000	62.704	81.700	71.661	71.920	0.2520	0.00	11.9	4.303
06/03/15 05:55:00.0	-0.1937	0.0000	62.834	81.700	71.661	71.920	0.2520	4.71	11.9	4.297
06/03/15 06:00:00.0	-0.1937	0.0000	62.791	81.500	71.661	71.920	0.2524	2.35	15.6	4.297
06/03/15 06:05:00.0	-0.1937	0.0000	62.748	81.400	71.661	71.877	0.2520	20.00	16.9	4.297
06/03/15 06:10:00.0	-0.1937	0.0000	62.791	81.400	71.661	71.877	0.2520	5.88	21.9	4.297
06/03/15 06:15:00.0	-0.1937	0.0000	62.919	81.300	71.620	71.877	0.2520	1.18	24.4	4.297
06/03/15 06:20:00.0	-0.1937	0.0000	63.176	81.000	71.620	71.877	0.2520	1.18	31.9	4.297
06/03/15 06:25:00.0	-0.1937	0.0000	63.475	80.400	71.620	71.834	0.2524	0.00	44.4	4.303
06/03/15 06:30:00.0	-0.1937	0.0000	63.689	79.800	71.620	71.834	0.2520	0.00	36.9	4.303
06/03/15 06:35:00.0	-0.1937	0.0000	63.990	79.200	71.620	71.834	0.2520	0.00	38.1	4.303
06/03/15 06:40:00.0	-0.1937	0.0000	64.204	78.700	71.620	71.834	0.2524	0.00	34.4	4.303
06/03/15 06:45:00.0	-0.1937	0.0000	64.117	78.100	71.620	71.791	0.2524	0.00	40.6	4.303
06/03/15 06:50:00.0	-0.1937	0.0000	64.288	78.100	71.620	71.791	0.2520	0.00	41.9	4.303
06/03/15 06:55:00.0	-0.1937	0.0000	64.418	77.900	71.620	71.791	0.2524	0.00	40.6	4.303
06/03/15 07:00:00.0	-0.1937	0.0000	64.459	77.600	71.620	71.791	0.2524	0.00	43.1	4.303
06/03/15 07:05:00.0	-0.1937	0.0000	64.717	77.400	71.620	71.791	0.2524	0.00	40.6	4.303
06/03/15 07:10:00.0	-0.1937	0.0000	64.760	77.000	71.620	71.791	0.2524	0.00	41.9	4.303
06/03/15 07:15:00.0	-0.1937	0.0000	64.974	76.900	71.620	71.748	0.2520	0.00	58.1	4.309
06/03/15 07:20:00.0	-0.1937	0.0000	65.145	76.500	71.620	71.748	0.2516	0.00	71.9	4.315
06/03/15 07:25:00.0	-0.1937	0.0000	65.444	76.100	71.661	71.748	0.2516	0.00	53.1	4.321
06/03/15 07:30:00.0	-0.1937	0.0000	65.530	75.800	71.661	71.748	0.2524	0.00	48.1	4.315
06/03/15 07:35:00.0	-0.1937	0.0000	65.615	75.700	71.661	71.748	0.2524	0.00	56.9	4.315
06/03/15 07:40:00.0	-0.1937	0.0000	65.701	75.600	71.661	71.748	0.2524	0.00	50.6	4.339
06/03/15 07:45:00.0	-0.1937	0.0000	65.615	75.400	71.704	71.748	0.2524	0.00	35.6	4.309
06/03/15 07:50:00.0	-0.1937	0.0000	65.658	75.700	71.704	71.748	0.2524	0.00	59.4	4.315
06/03/15 07:55:00.0	-0.1937	0.0000	65.745	76.000	71.704	71.748	0.2524	0.00	50.6	4.315
06/03/15 08:00:00.0	-0.1937	0.0000	65.615	75.900	71.704	71.748	0.2516	0.00	59.4	4.321
06/03/15 08:05:00.0	-0.1937	0.0000	65.444	76.000	71.748	71.748	0.2524	0.00	60.6	4.321
06/03/15 08:10:00.0	-0.1937	0.0000	65.658	76.300	71.748	71.791	0.2524	0.00	60.6	4.321
06/03/15 08:15:00.0	-0.1937	0.0000	65.872	76.200	71.748	71.748	0.2524	0.00	53.1	4.321
06/03/15 08:20:00.0	-0.1937	0.0000	65.701	76.500	71.748	71.791	0.2516	0.00	33.1	4.315
06/03/15 08:25:00.0	-0.1937	0.0000	65.444	76.900	71.748	71.791	0.2516	8.24	18.1	4.309
06/03/15 08:30:00.0	-0.1937	0.0000	64.632	79.100	71.791	71.791	0.2524	100.00	13.1	4.303
06/03/15 08:35:00.0	-0.1937	0.0000	63.903	81.100	71.791	71.791	0.2524	100.00	20.6	4.303
06/03/15 08:40:00.0	-0.1937	0.0000	63.304	82.700	71.791	71.791	0.2524	100.00	26.9	4.303
06/03/15 08:45:00.0	-0.1937	0.0000	63.090	84.000	71.791	71.791	0.2520	100.00	30.6	4.303
06/03/15 08:50:00.0	-0.1937	0.0000	63.048	85.000	71.791	71.791	0.2524	100.00	46.9	4.309
06/03/15 08:55:00.0	-0.1937	0.0000	63.133	85.600	71.791	71.791	0.2524	100.00	39.4	4.309
06/03/15 09:00:00.0	-0.1937	0.0000	63.133	86.100	71.791	71.791	0.2524	100.00	35.6	4.309
06/03/15 09:05:00.0	-0.1937	0.0000	63.176	86.700	71.791	71.791	0.2524	100.00	54.4	4.315
06/03/15 09:10:00.0	-0.1937	0.0000	62.919	87.100	71.748	71.791	0.2520	100.00	46.9	4.321
06/03/15 09:15:00.0	-0.1937	0.0000	62.919	87.600	71.748	71.791	0.2524	100.00	43.1	4.315
06/03/15 09:20:00.0	-0.1937	0.0000	61.804	87.600	71.748	71.791	0.2528	100.00	50.6	4.321
06/03/15 09:25:00.0	-0.1937	0.0000	61.761	88.400	71.748	71.791	0.2524	100.00	50.6	4.321
06/03/15 09:30:00.0	-0.1937	0.0000	61.761	89.200	71.748	71.791	0.2524	100.00	69.4	4.321
06/03/15 09:35:00.0	-0.1937	0.0000	61.934	89.500	71.748	71.791	0.2524	100.00	84.4	4.327
06/03/15 09:40:00.0	-0.1937	0.0000	62.447	89.700	71.748	71.791	0.2528	100.00	71.9	4.333
06/03/15 09:45:00.0	-0.1937	0.0000	62.748	90.000	71.748	71.748	0.2528	100.00	103.1	4.339
06/03/15 09:50:00.0	-0.1937	0.0000	62.490	89.800	71.748	71.748	0.2528	100.00	49.4	4.333
06/03/15 09:55:00.0	-0.1937	0.0000	62.191	89.800	71.748	71.748	0.2532	100.00	39.4	4.327
06/03/15 10:00:00.0	-0.1937	0.0000	62.490	90.000	71.791	71.748	0.2528	100.00	34.4	4.321
06/03/15 10:05:00.0	-0.1937	0.0000	62.406	90.100	71.791	71.748	0.2528	100.00	45.6	4.321
06/03/15 10:10:00.0	-0.1937	0.0000	62.533	90.300	71.791	71.748	0.2528	100.00	53.1	4.321
06/03/15 10:15:00.0	-0.1937	0.0000	62.704	90.300	71.791	71.748	0.2534	100.00	66.9	4.327
06/03/15 10:20:00.0	-0.1937	0.0000	63.048	90.300	71.791	71.748	0.2532	100.00	74.4	4.333
06/03/15 10:25:00.0	-0.1937	0.0000	62.748	90.200	71.791	71.748	0.2532	100.00	78.1	4.339
06/03/15 10:30:00.0	-0.1937	0.0000	62.875	90.000	71.791	71.748	0.2534	100.00	100.6	4.339
06/03/15 10:35:00.0	-0.1937	0.0000	62.577	89.800	71.791	71.748	0.2534	100.00	69.4	4.339
06/03/15 10:40:00.0	-0.1937	0.0000	62.919	89.700	71.791	71.748	0.2534	80.59	70.6	4.339
06/03/15 10:45:00.0	-0.1937	0.0000	63.133	89.500	71.791	71.748	0.2532	60.00	84.4	4.339
06/03/15 10:50:00.0	-0.1937	0.0000	63.518	89.100	71.791	71.748	0.2534	40.59	100.6	4.345
06/03/15 10:55:00.0	-0.1937	0.0000	63.433	87.500	71.791	71.748	0.2534	25.88	93.1	4.387
06/03/15 11:00:00.0	-0.1937	0.0000	63.262	86.400	71.834	71.748	0.2532	21.18	96.9	4.351
06/03/15 11:05:00.0	-0.1937	0.0000	63.433	85.500	71.834	71.748	0.2528	20.00	115.6	4.345
06/03/15 11:10:00.0	-0.1937	0.0000	63.990	84.800	71.834	71.748	0.2532	14.71	118.1	4.339
06/03/15 11:15:00.0	-0.1937	0.0000	63.946	83.500	71.834	71.791	0.2534	7.06	135.6	4.351
06/03/15 11:20:00.0	-0.1937	0.0000	64.503	82.900	71.877	71.791	0.2532	0.00	129.4	4.351
06/03/15 11:25:00.0	-0.1937	0.0000	64.845	81.900	71.877	71.791	0.2532	0.00	126.9	4.351
06/03/15 11:30:00.0	-0.1937	0.0000	66.043	82.700	71.877	71.791	0.2528	0.00	138.1	4.339
06/03/15 11:35:00.0	-0.1937	0.0000	66.214	81.300	71.877	71.791	0.2532	0.00	170.6	4.351
06/03/15 11:40:00.0	-0.1937	0.0000	66.943	80.500	71.920	71.791	0.2528	0.00	151.9	4.363
06/03/15 11:45:00.0	-0.1937	0.0000	67.372	79.400	71.964	71.791	0.2532	0.00	163.1	4.363
06/03/15 11:50:00.0	-0.1937	0.0000	67.714	78.200	71.964	71.791	0.2528	0.00	170.6	4.345
06/03/15 11:55:00.0	-0.1937	0.0000	67.456	76.300	72.007	71.834	0.2532	0.00	203.1	4.339
06/03/15 12:00:00.0	-0.1937	0.0000	67.885	76.800	72.050	71.834	0.2532	0.00	265.6	4.363
06/03/15 12:05:00.0	-0.1937	0.0000	68.742	75.900	72.093	71.834	0.2532	0.00	294.4	4.345
